| station       | antenna             | feed                     | front-end        | node-bulkhead   | post-amp     | snap                  | node      |      start |       stop |
| HH24 <ground  | ground> A24 <focus  | input> FDV12 <terminals  | input> FEM043 <n | n9> NBP00 <n9   | n> PAM030 <n | n8> SNPA000024 <rack  | loc2> N00 | 1241784018 |            |
| HH25 <ground  | ground> A25 <focus  | input> FDV6 <terminals   | input> FEM025 <e | e10> NBP00 <e10 | e> PAM051 <e | e2> SNPA000020 <rack  | loc3> N00 | 1242126018 |            |
| HH25 <ground  | ground> A25 <focus  | input> FDV6 <terminals   | input> FEM025 <n | n10> NBP00 <n10 | n> PAM051 <n | n0> SNPA000020 <rack  | loc3> N00 | 1242126018 |            |
| HH26 <ground  | ground> A26 <focus  | input> FDV7 <terminals   | input> FEM027 <e | e11> NBP00 <e11 | e> PAM032 <e | e6> SNPA000020 <rack  | loc3> N00 | 1242126018 |            |
| HH26 <ground  | ground> A26 <focus  | input> FDV7 <terminals   | input> FEM027 <n | n11> NBP00 <n11 | n> PAM032 <n | n4> SNPA000020 <rack  | loc3> N00 | 1242126018 |            |
| HH27 <ground  | ground> A27 <focus  | input> FDV155 <terminals | input> FEM211 <e | e2> NBP01 <e2   | e> PAM210 <e | e6> SNPC000063 <rack  | loc0> N01 | 1284255318 |            |
| HH27 <ground  | ground> A27 <focus  | input> FDV155 <terminals | input> FEM211 <n | n2> NBP01 <n2   | n> PAM210 <n | n4> SNPC000063 <rack  | loc0> N01 | 1284255318 |            |
| HH28 <ground  | ground> A28 <focus  | input> FDV154 <terminals | input> FEM218 <e | e3> NBP01 <e3   | e> PAM211 <e | e10> SNPC000063 <rack | loc0> N01 | 1284255318 |            |
| HH28 <ground  | ground> A28 <focus  | input> FDV154 <terminals | input> FEM218 <n | n3> NBP01 <n3   | n> PAM211 <n | n8> SNPC000063 <rack  | loc0> N01 | 1284255318 |            |
| HH29 <ground  | ground> A29 <focus  | input> FDV152 <terminals | input> FEM219 <e | e4> NBP01 <e4   | e> PAM212 <e | e2> SNPC000071 <rack  | loc1> N01 | 1284255318 |            |
| HH29 <ground  | ground> A29 <focus  | input> FDV152 <terminals | input> FEM219 <n | n4> NBP01 <n4   | n> PAM212 <n | n0> SNPC000071 <rack  | loc1> N01 | 1284255318 |            |
| HH30 <ground  | ground> A30 <focus  | input> FDV153 <terminals | input> FEM216 <e | e5> NBP01 <e5   | e> PAM213 <e | e6> SNPC000071 <rack  | loc1> N01 | 1284255318 |            |
| HH30 <ground  | ground> A30 <focus  | input> FDV153 <terminals | input> FEM216 <n | n5> NBP01 <n5   | n> PAM213 <n | n4> SNPC000071 <rack  | loc1> N01 | 1284255318 |            |
| HH36 <ground  | ground> A36 <focus  | input> FDV93 <terminals  | input> FEM132 <e | e11> NBP03 <e11 | e> PAM135 <e | e6> SNPC000054 <rack  | loc3> N03 | 1259229618 |            |
| HH36 <ground  | ground> A36 <focus  | input> FDV93 <terminals  | input> FEM132 <n | n11> NBP03 <n11 | n> PAM135 <n | n4> SNPC000054 <rack  | loc3> N03 | 1259229618 |            |
| HH37 <ground  | ground> A37 <focus  | input> FDV86 <terminals  | input> FEM136 <e | e5> NBP03 <e5   | e> PAM129 <e | e6> SNPC000002 <rack  | loc1> N03 | 1259229618 |            |
| HH37 <ground  | ground> A37 <focus  | input> FDV86 <terminals  | input> FEM136 <n | n5> NBP03 <n5   | n> PAM129 <n | n4> SNPC000002 <rack  | loc1> N03 | 1259229618 |            |
| HH38 <ground  | ground> A38 <focus  | input> FDV87 <terminals  | input> FEM117 <e | e6> NBP03 <e6   | e> PAM130 <e | e10> SNPC000002 <rack | loc1> N03 | 1259229618 |            |
| HH38 <ground  | ground> A38 <focus  | input> FDV87 <terminals  | input> FEM117 <n | n6> NBP03 <n6   | n> PAM130 <n | n8> SNPC000002 <rack  | loc1> N03 | 1259229618 |            |
| HH39 <ground  | ground> A39 <focus  | input> FDV14 <terminals  | input> FEM042 <e | e12> NBP00 <e12 | e> PAM033 <e | e10> SNPA000020 <rack | loc3> N00 | 1242126018 |            |
| HH39 <ground  | ground> A39 <focus  | input> FDV14 <terminals  | input> FEM042 <n | n12> NBP00 <n12 | n> PAM033 <n | n8> SNPA000020 <rack  | loc3> N00 | 1242126018 |            |
| HH40 <ground  | ground> A40 <focus  | input> FDV58 <terminals  | input> FEM101 <e | e6> NBP04 <e6   | e> PAM106 <e | e10> SNPC000003 <rack | loc1> N04 | 1257937218 |            |
| HH40 <ground  | ground> A40 <focus  | input> FDV58 <terminals  | input> FEM101 <n | n6> NBP04 <n6   | n> PAM106 <n | n8> SNPC000003 <rack  | loc1> N04 | 1257937218 |            |
| HH41 <ground  | ground> A41 <focus  | input> FDV52 <terminals  | input> FEM104 <e | e10> NBP04 <e10 | e> PAM110 <e | e2> SNPC000040 <rack  | loc3> N04 | 1257937218 |            |
| HH41 <ground  | ground> A41 <focus  | input> FDV52 <terminals  | input> FEM104 <n | n10> NBP04 <n10 | n> PAM110 <n | n0> SNPC000040 <rack  | loc3> N04 | 1257937218 |            |
| HH42 <ground  | ground> A42 <focus  | input> FDV53 <terminals  | input> FEM123 <e | e2> NBP04 <e2   | e> PAM102 <e | e6> SNPC000022 <rack  | loc0> N04 | 1257937218 |            |
| HH42 <ground  | ground> A42 <focus  | input> FDV53 <terminals  | input> FEM123 <n | n2> NBP04 <n2   | n> PAM102 <n | n4> SNPC000022 <rack  | loc0> N04 | 1257937218 |            |
| HH43 <ground  | ground> A43 <focus  | input> FDV50 <terminals  | input> FEM116 <e | e8> NBP05 <e8   | e> PAM120 <e | e6> SNPC000032 <rack  | loc2> N05 | 1257937218 |            |
| HH43 <ground  | ground> A43 <focus  | input> FDV50 <terminals  | input> FEM116 <n | n8> NBP05 <n8   | n> PAM120 <n | n4> SNPC000032 <rack  | loc2> N05 | 1257937218 |            |
| HH44 <ground  | ground> A44 <focus  | input> FDV59 <terminals  | input> FEM109 <e | e6> NBP05 <e6   | e> PAM118 <e | e10> SNPC000050 <rack | loc1> N05 | 1257937218 |            |
| HH44 <ground  | ground> A44 <focus  | input> FDV59 <terminals  | input> FEM109 <n | n6> NBP05 <n6   | n> PAM118 <n | n8> SNPC000050 <rack  | loc1> N05 | 1257937218 |            |
| HH45 <ground  | ground> A45 <focus  | input> FDV56 <terminals  | input> FEM102 <e | e1> NBP05 <e1   | e> PAM113 <e | e2> SNPC000058 <rack  | loc0> N05 | 1257937218 |            |
| HH45 <ground  | ground> A45 <focus  | input> FDV56 <terminals  | input> FEM102 <n | n1> NBP05 <n1   | n> PAM113 <n | n0> SNPC000058 <rack  | loc0> N05 | 1257937218 |            |
| HH46 <ground  | ground> A46 <focus  | input> FDV57 <terminals  | input> FEM110 <e | e2> NBP05 <e2   | e> PAM114 <e | e6> SNPC000058 <rack  | loc0> N05 | 1257937218 |            |
| HH46 <ground  | ground> A46 <focus  | input> FDV57 <terminals  | input> FEM110 <n | n2> NBP05 <n2   | n> PAM114 <n | n4> SNPC000058 <rack  | loc0> N05 | 1257937218 |            |
| HH50 <ground  | ground> A50 <focus  | input> FDV85 <terminals  | input> FEM107 <e | e12> NBP03 <e12 | e> PAM136 <e | e10> SNPC000054 <rack | loc3> N03 | 1260180138 |            |
| HH50 <ground  | ground> A50 <focus  | input> FDV85 <terminals  | input> FEM107 <n | n12> NBP03 <n12 | n> PAM136 <n | n8> SNPC000054 <rack  | loc3> N03 | 1260180138 |            |
| HH51 <ground  | ground> A51 <focus  | input> FDV75 <terminals  | input> FEM133 <e | e9> NBP03 <e9   | e> PAM133 <e | e10> SNPC000037 <rack | loc2> N03 | 1259229618 |            |
| HH51 <ground  | ground> A51 <focus  | input> FDV75 <terminals  | input> FEM133 <n | n9> NBP03 <n9   | n> PAM133 <n | n8> SNPC000037 <rack  | loc2> N03 | 1259229618 |            |
| HH52 <ground  | ground> A52 <focus  | input> FDV94 <terminals  | input> FEM134 <e | e10> NBP03 <e10 | e> PAM134 <e | e2> SNPC000054 <rack  | loc3> N03 | 1264068618 |            |
| HH52 <ground  | ground> A52 <focus  | input> FDV94 <terminals  | input> FEM134 <n | n10> NBP03 <n10 | n> PAM134 <n | n0> SNPC000054 <rack  | loc3> N03 | 1264068618 |            |
| HH53 <ground  | ground> A53 <focus  | input> FDV92 <terminals  | input> FEM125 <e | e7> NBP03 <e7   | e> PAM131 <e | e2> SNPC000037 <rack  | loc2> N03 | 1259229618 |            |
| HH53 <ground  | ground> A53 <focus  | input> FDV92 <terminals  | input> FEM125 <n | n7> NBP03 <n7   | n> PAM131 <n | n0> SNPC000037 <rack  | loc2> N03 | 1259229618 |            |
| HH54 <ground  | ground> A54 <focus  | input> FDV54 <terminals  | input> FEM120 <e | e3> NBP04 <e3   | e> PAM112 <e | e10> SNPC000022 <rack | loc0> N04 | 1259229678 |            |
| HH54 <ground  | ground> A54 <focus  | input> FDV54 <terminals  | input> FEM120 <n | n3> NBP04 <n3   | n> PAM112 <n | n8> SNPC000022 <rack  | loc0> N04 | 1259229678 |            |
| HH55 <ground  | ground> A55 <focus  | input> FDV23 <terminals  | input> FEM119 <e | e7> NBP04 <e7   | e> PAM107 <e | e2> SNPC000048 <rack  | loc2> N04 | 1257937218 |            |
| HH55 <ground  | ground> A55 <focus  | input> FDV23 <terminals  | input> FEM119 <n | n7> NBP04 <n7   | n> PAM107 <n | n0> SNPC000048 <rack  | loc2> N04 | 1257937218 |            |
| HH56 <ground  | ground> A56 <focus  | input> FDV72 <terminals  | input> FEM105 <e | e4> NBP04 <e4   | e> PAM104 <e | e2> SNPC000003 <rack  | loc1> N04 | 1257937218 |            |
| HH56 <ground  | ground> A56 <focus  | input> FDV72 <terminals  | input> FEM105 <n | n4> NBP04 <n4   | n> PAM104 <n | n0> SNPC000003 <rack  | loc1> N04 | 1257937218 |            |
| HH57 <ground  | ground> A57 <focus  | input> FDV71 <terminals  | input> FEM113 <e | e11> NBP04 <e11 | e> PAM111 <e | e6> SNPC000040 <rack  | loc3> N04 | 1257937218 |            |
| HH57 <ground  | ground> A57 <focus  | input> FDV71 <terminals  | input> FEM113 <n | n11> NBP04 <n11 | n> PAM111 <n | n4> SNPC000040 <rack  | loc3> N04 | 1257937218 |            |
| HH58 <ground  | ground> A58 <focus  | input> FDV67 <terminals  | input> FEM118 <e | e5> NBP05 <e5   | e> PAM117 <e | e6> SNPC000050 <rack  | loc1> N05 | 1257937218 |            |
